day,day_confirmed,total_confirmed,day_death,total_death,day_release,total_release
1월 20일,1,1,0,0,0,0
1월 24일,0,1,0,0,0,0
1월 26일,1,2,0,0,0,0
1월 27일,1,3,0,0,0,0
1월 30일,1,4,0,0,0,0
1월 31일,2,6,0,0,0,0
2월 1일,5,11,0,0,0,0
2월 2일,1,12,0,0,0,0
2월 4일,3,15,0,0,0,0
2월 5일,1,16,0,0,0,0
2월 6일,3,19,0,0,1,1
2월 7일,4,23,0,0,1,2
2월 9일,1,24,0,0,0,2
2월 10일,3,27,0,0,1,3
2월 11일,0,27,0,0,1,4
2월 12일,1,28,0,0,0,4
2월 15일,0,28,0,0,3,7
2월 16일,0,28,0,0,2,9
2월 17일,1,29,0,0,0,9
2월 18일,1,30,0,0,1,10
2월 19일,1,31,0,0,2,12
2월 20일,20,51,1,1,4,16
2월 21일,53,104,0,1,0,16
2월 22일,100,204,1,2,1,17
2월 23일,229,433,0,2,1,18
2월 24일,169,602,4,6,0,18
2월 25일,231,833,2,8,6,24
2월 26일,144,977,4,12,0,24
2월 27일,284,1261,0,12,0,24
2월 28일,505,1766,1,13,3,27
2월 29일,571,2337,3,16,0,27
3월 1일,813,3150,1,17,1,28
3월 2일,1062,4212,5,22,3,31
3월 3일,600,4812,6,28,3,34
3월 4일,516,5328,4,32,7,41
3월 5일,438,5766,3,35,47,88
3월 6일,518,6284,7,42,20,108
3월 7일,483,6767,2,44,10,118
3월 8일,367,7134,6,50,12,130
3월 9일,248,7382,1,51,36,166
3월 10일,131,7513,3,54,81,247
3월 11일,242,7755,6,60,41,288
3월 12일,114,7869,6,66,45,333
3월 13일,110,7979,1,67,177,510
3월 14일,107,8086,5,72,204,714
3월 15일,76,8162,3,75,120,834
3월 16일,74,8236,0,75,303,1137
3월 17일,84,8320,6,81,264,1401
3월 18일,93,8413,3,84,139,1540
3월 19일,152,8565,7,91,407,1947
3월 20일,87,8652,3,94,286,2233
3월 21일,147,8799,8,102,379,2612
3월 22일,98,8897,2,104,297,2909
3월 23일,64,8961,7,111,257,3166
3월 24일,76,9037,9,120,341,3507
3월 25일,100,9137,6,126,223,3730
3월 26일,104,9241,5,131,414,4144
3월 27일,91,9332,8,139,384,4528
3월 28일,146,9478,5,144,283,4811
3월 29일,105,9583,8,152,222,5033
3월 30일,78,9661,6,158,195,5228
3월 31일,125,9786,4,162,180,5408
4월 1일,101,9887,3,165,159,5567
4월 2일,89,9976,4,169,261,5828
4월 3일,86,10062,5,174,193,6021
4월 4일,94,10156,3,177,304,6325
4월 5일,81,10237,6,183,138,6463
4월 6일,47,10284,3,186,135,6598
4월 7일,47,10331,6,192,96,6694
4월 8일,53,10384,8,200,82,6776
4월 9일,39,10423,4,204,197,6973
4월 10일,27,10450,4,208,144,7117
4월 11일,30,10480,3,211,126,7243
4월 12일,32,10512,3,214,125,7368
4월 13일,25,10537,3,217,79,7447
4월 14일,27,10564,5,222,87,7534
4월 15일,27,10591,3,225,82,7616
4월 16일,22,10613,4,229,141,7757
4월 17일,22,10635,1,230,72,7829
4월 18일,18,10653,2,232,108,7937
4월 19일,8,10661,2,234,105,8042
4월 20일,13,10674,2,236,72,8114
4월 21일,9,10683,1,237,99,8213
4월 22일,11,10694,1,238,64,8277
4월 23일,8,10702,2,240,134,8411
4월 24일,6,10708,0,240,90,8501
4월 25일,10,10718,0,240,134,8635
4월 26일,10,10728,2,242,82,8717
